timestamp,solving_id,question_id,user_answer,elapsed_time
1565176019438,1,q6354,a,17000
1565176051864,2,q240,a,27000
1565176088612,3,q4124,a,33000
1565176114113,4,q5790,c,22000
1565176136681,5,q4996,a,19000
1565176186166,6,q8651,a,46000
1565176226172,7,q5746,b,36000
1565176262339,8,q5366,b,32000
1565176299358,9,q28,b,33000
1565176346951,10,q4598,a,41000
1565176376152,11,q4921,c,25000
1565176804793,12,q558,b,24000
1567147210211,13,q10642,b,27750
1567147210286,13,q10644,a,27750
1567147210301,13,q10643,c,27750
1567147210311,13,q10645,d,27750
